outcome,treatment,learner,subgroup_var,subgroup_val,confounder_set,dataset_type,coef,se,ci_lower,ci_upper,n,n_treated,n_untreated,n_clusters,cluster_var,rv_q,rv_qa
VeryHighRiskHome,treat_filter,enet,,,base,HH,0.0168402210121993,0.009163231105819764,-0.0011193819372245749,0.03479982396162318,59620,3051,56569,18655,Cluster_var,,
VeryHighRiskHome,treat_filter,rf,,,base,HH,0.04389556793207253,0.013196259129244747,0.01803137530809492,0.06975976055605013,59620,3051,56569,18655,Cluster_var,,
VeryHighRiskHome,treat_filter,xgb,,,base,HH,0.043339003833529094,0.016253569080532715,0.011482593815451178,0.07519541385160701,59620,3051,56569,18655,Cluster_var,,
VeryHighRiskHome,treat_filter,stacked,,,base,HH,-0.004296390142544664,0.008036775757063701,-0.019212754341558294,0.011455400893124818,59620,3051,56569,18655,Cluster_var,,
VeryHighRiskHome,treat_other,ols,,,base,HH,-0.07261946002737393,0.011284594761911933,-0.09473685934085066,-0.0505020607138972,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_other,lasso,,,base,HH,-0.07466344842724085,0.009878200673353694,-0.09441223985509908,-0.0553025308754083,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_other,ridge,,,base,HH,-0.07261370642052502,0.012178857777281463,-0.09640382490342211,-0.04874358380421782,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_other,enet,,,base,HH,-0.07206846166457336,0.012600299802835327,-0.09636269572165074,-0.04737232785660897,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_other,rf,,,base,HH,-0.06878005062371034,0.010866872701334714,-0.09007872974290787,-0.047481371504512815,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_other,xgb,,,base,HH,-0.06311202864463206,0.012742689254637889,-0.08808724064990786,-0.03813681663935625,59620,2316,57304,18655,Cluster_var,,
VeryHighRiskHome,treat_other,stacked,,,base,HH,-0.11956167988053949,0.007547410734373939,-0.1343543330964434,-0.10476902666463558,59620,2316,57304,18655,Cluster_var,,
diarrhea,treat_boil,ols,,,base,U5,0.01844753353272793,0.0061584584003948695,0.006377176867665832,0.030517890197790026,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_boil,lasso,,,base,U5,0.0004417815727353692,0.010273026111760555,-0.019692979618554866,0.020576542764025603,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_boil,ridge,,,base,U5,0.01617027478091153,0.0066078298720125776,0.0032191662157989628,0.0291213833460241,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_boil,enet,,,base,U5,-0.007010902897650796,0.006098162243731558,-0.02146548687071665,0.004941275471945026,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_boil,rf,,,base,U5,-0.010541130689217155,0.008816788922647839,-0.027821719436898623,0.0067394580584643135,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_boil,xgb,,,base,U5,0.00055050506680625,0.012596132538473378,-0.024137461053094656,0.02523847118670716,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_boil,stacked,,,base,U5,-0.01936203180058139,0.006372750978411784,-0.03185239420071088,-0.006871669400451903,36121,2746,33375,13596,Cluster_var,,
diarrhea,treat_chlorine,ols,,,base,U5,-0.018076960020798876,0.012070727167323762,-0.04175668117664451,0.005581240224492773,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_chlorine,lasso,,,base,U5,-0.0052671625557382026,0.011796439089152335,-0.028544567328328836,0.017853442993100484,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_chlorine,ridge,,,base,U5,-0.015091290026449081,0.012242685764108117,-0.039072431876666605,0.0089039201257907,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_chlorine,enet,,,base,U5,-0.005506417157883287,0.011745972656255236,-0.02869035248069382,0.01751526621176925,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_chlorine,rf,,,base,U5,-0.010711238563623209,0.012740693866683655,-0.035682539680373535,0.014260062553127114,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_chlorine,xgb,,,base,U5,-0.016276841855936607,0.015917887364118845,-0.04788344117983873,0.01492166443181769,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_chlorine,stacked,,,base,U5,-0.0019362035387163732,0.010126669025518266,-0.0217841101120895,0.01791170303465675,36121,737,35384,13596,Cluster_var,,
diarrhea,treat_filter,ols,,,base,U5,0.044865058675641015,0.011733076643075385,0.021854631227195675,0.06786146619510715,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_filter,lasso,,,base,U5,0.016542338621190648,0.013338137152715658,-0.010346192706267705,0.04268460706136896,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_filter,ridge,,,base,U5,0.04190015866795617,0.011681556913348615,0.019004727834438,0.06479558950147433,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_filter,enet,,,base,U5,0.010038235719531885,0.011271979929102038,-0.01298262212224146,0.03213092790662747,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_filter,rf,,,base,U5,0.008321534787791102,0.013313622528112698,-0.01777268587107089,0.034415755446653096,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_filter,xgb,,,base,U5,0.027870823420976593,0.016684467089190372,-0.004830131175080358,0.06057177801703355,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_filter,stacked,,,base,U5,0.013600354255915287,0.007676884659014829,-0.00144606318922183,0.028646771701052405,36121,2593,33528,13596,Cluster_var,,
diarrhea,treat_other,ols,,,base,U5,-0.009257149210845793,0.01207598787998134,-0.03292565053335142,0.014411352111659831,36121,948,35173,13596,Cluster_var,,
diarrhea,treat_other,lasso,,,base,U5,-0.04666336061995156,0.011556210386973452,-0.0693131167761872,-0.024013604463715917,36121,948,35173,13596,Cluster_var,,
diarrhea,treat_other,ridge,,,base,U5,-0.011810344616132501,0.012591680764178005,-0.036056642680226424,0.012868886122429422,36121,948,35173,13596,Cluster_var,,
diarrhea,treat_other,enet,,,base,U5,-0.05433900413928411,0.011207115065780548,-0.07630454603881022,-0.032373462239758,36121,948,35173,13596,Cluster_var,,
diarrhea,treat_other,rf,,,base,U5,-0.029125151778093054,0.0110725850097327,-0.05082701961292723,-0.0074232839432588765,36121,948,35173,13596,Cluster_var,,
diarrhea,treat_other,xgb,,,base,U5,0.0038663445627626757,0.014445808359782309,-0.024446919549978283,0.03217960867550364,36121,948,35173,13596,Cluster_var,,
diarrhea,treat_other,stacked,,,base,U5,-0.05791138772954133,0.008022415630217977,-0.07363503343377976,-0.0421877420253029,36121,948,35173,13596,Cluster_var,,
