sample_label,method,outcome,treatment,coef,std_err,p_value,ci_low,ci_high,N,K
RiskSource=Moderate to high risk,IRM,SomeRiskHome,Strain/Settle,-0.01611680332902072,0.009046993264774981,0.07483829541739337,-0.03384858429635612,0.001614977638314686,18623,46
RiskSource=Moderate to high risk,PLR,VeryHighRiskHome,Strain/Settle,-0.03900367982283233,0.01414963844515499,0.005842106937006297,-0.06673646156959943,-0.011270898076065222,18623,46
RiskSource=Moderate to high risk,IRM,VeryHighRiskHome,Strain/Settle,-0.049383564778431,0.016792731179575908,0.003273972362089783,-0.08233796182696919,-0.01647041348295835,18623,46
RiskSource=Moderate to high risk,PLR,SomeRiskHome,Other,-0.1715712884737107,0.01703847497261923,7.52539506700362e-24,-0.20496608577153147,-0.13817649117588993,18179,46
RiskSource=Moderate to high risk,IRM,SomeRiskHome,Other,-0.09734992010658777,0.01333045251852066,2.8179416258552104e-13,-0.12347712694050952,-0.07122271327266602,18179,46
RiskSource=Moderate to high risk,PLR,VeryHighRiskHome,Other,-0.027617153802679695,0.014832704954326347,0.06261585214607715,-0.05668872130646817,0.0014544137011087734,18179,46
RiskSource=Moderate to high risk,IRM,VeryHighRiskHome,Other,-0.03306447126298093,0.021075837552099068,0.11668683686343512,-0.07437235380911192,0.008243411283150058,18179,46
RiskSource=Very high risk,PLR,SomeRiskHome,Any treatment vs nothing,-0.04840954539572812,0.005579831726450189,4.1062660662200334e-18,-0.05934581461936444,-0.037473276172091806,12268,46
RiskSource=Very high risk,IRM,SomeRiskHome,Any treatment vs nothing,-0.03599100480974342,0.003187853937041472,1.469664450547505e-29,-0.04220125533299751,-0.02974292693054506,12268,46
RiskSource=Very high risk,PLR,VeryHighRiskHome,Any treatment vs nothing,-0.15456010785211205,0.011831270355688532,5.308716434444025e-39,-0.17774897164061798,-0.13137124406360612,12268,46
RiskSource=Very high risk,IRM,VeryHighRiskHome,Any treatment vs nothing,-0.17265938728124644,0.010335704415968575,1.2024583430280504e-62,-0.19291699569139642,-0.15240177887109646,12268,46
RiskSource=Very high risk,PLR,SomeRiskHome,Boiling,-0.08733003672798721,0.01093693517386282,1.4066722347348158e-15,-0.10876603577000765,-0.06589403768596677,10603,46
RiskSource=Very high risk,IRM,SomeRiskHome,Boiling,-0.05687756189650758,0.00480871276816792,2.7965313847399403e-32,-0.06630246573411461,-0.047452658058900546,10603,46
RiskSource=Very high risk,PLR,VeryHighRiskHome,Boiling,-0.1461912292785854,0.017755786368714353,1.8191015466182527e-16,-0.18099193107845277,-0.11139052747871805,10603,46
RiskSource=Very high risk,IRM,VeryHighRiskHome,Boiling,-0.17015423501816562,0.014121576612236206,1.9575158069181706e-33,-0.19690892477454858,-0.14247645345325952,10603,46
RiskSource=Very high risk,PLR,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.031906033575485014,0.01164138860830373,0.006130076734899095,-0.054461444155844835,-0.009089328772503517,9876,46
RiskSource=Very high risk,IRM,SomeRiskHome,Chlorine/Aquatabs/PUR,-0.014977034641281833,0.006807949495807803,0.02781162934492227,-0.028392762391819773,-0.0016337261791316091,9876,46
RiskSource=Very high risk,PLR,VeryHighRiskHome,Chlorine/Aquatabs/PUR,-0.1631546628207034,0.02467297129471201,3.7740318232558326e-11,-0.21151279794992953,-0.11479652769147727,9876,46
RiskSource=Very high risk,IRM,VeryHighRiskHome,Chlorine/Aquatabs/PUR,-0.23540842864818623,0.024835388422845297,2.5734819680741355e-21,-0.2836891764165786,-0.18673201042484272,9876,46
RiskSource=Very high risk,PLR,SomeRiskHome,Strain/Settle,-0.017598688942067404,0.00769641560576622,0.022218687713361506,-0.03268338633942122,-0.0025139915447135903,10442,46
RiskSource=Very high risk,IRM,SomeRiskHome,Strain/Settle,-0.006736053882183647,0.004118480235411571,0.10193006267111634,-0.014333726376248301,0.0013360190502630766,10442,46
RiskSource=Very high risk,PLR,VeryHighRiskHome,Strain/Settle,-0.10142418022629134,0.020298176413409696,5.831548572331544e-7,-0.14120787494841475,-0.061640485504167924,10442,46
RiskSource=Very high risk,IRM,VeryHighRiskHome,Strain/Settle,-0.1373947991070098,0.020643423197952718,2.8210652483763667e-11,-0.17785516509261579,-0.09693443312140382,10442,46
RiskSource=Very high risk,PLR,SomeRiskHome,Other,-0.07317715422001352,0.019565104462637466,0.00018388321827659745,-0.11152405432054684,-0.034830254119480195,9781,46
RiskSource=Very high risk,IRM,SomeRiskHome,Other,-0.04411594817465643,0.012401286810541878,0.0003745883836641765,-0.06775447531195614,-0.019809837183715488,9781,46
RiskSource=Very high risk,PLR,VeryHighRiskHome,Other,-0.25994597069408065,0.03181813242201795,3.0904661011998533e-16,-0.322308364296562,-0.19758357709159927,9781,46
RiskSource=Very high risk,IRM,VeryHighRiskHome,Other,-0.3078775849242297,0.03523147880858892,2.3579268017064874e-18,-0.3769300145111501,-0.23882515533730925,9781,46
